 *  Executing task: platformio device monitor 

--- Terminal on /dev/cu.usbserial-10 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
71566 00:00:00.000 R 09f11200 af ff ff ff 7f aa ff fc
71567 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
71751 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
71752 00:00:00.000 R 19f21420 00 ea 04 0c 00 80 70 00
71754 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
71765 00:00:00.000 R 19f21420 00 ea 04 0c 00 80 70 00
71766 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
71766 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
71931 00:00:00.000 R 09f11200 b0 ff ff ff 7f aa ff fc
71932 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
71932 00:00:00.000 R 09fd0202 22 50 03 2b 40 fa ff ff
71945 00:00:00.000 R 09f11200 b1 ff ff ff 7f aa ff fc
71945 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
71946 00:00:00.000 R 09f80200 b1 fc 0f 7e 00 00 ff ff
72133 00:00:00.000 R 09fd0202 24 4b 03 e1 3d fa ff ff
72137 00:00:00.000 R 09f11200 b3 ff ff ff 7f aa ff fc
72138 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
72138 00:00:00.000 R 15fd0800 b3 00 00 cf 71 ff ff ff
72149 00:00:00.000 R 0df50b23 ff 71 01 00 00 00 00 ff
72150 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
72161 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
72330 00:00:00.000 R 09f11200 b4 ff ff ff 7f aa ff fc
72330 00:00:00.000 R 0df50b00 b4 71 01 00 00 00 00 ff
72332 00:00:00.000 R 0df90300 b4 f0 ff ff ff 7f ff ff
72342 00:00:00.000 R 09f50300 b4 00 00 ff ff ff ff ff
72343 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
72343 00:00:00.000 R 1df11a00 b4 ff ff ff aa ff ff ff
72354 00:00:00.000 R 09fd0202 26 3d 03 04 3c fa ff ff
72356 00:00:00.000 R 09f11200 b5 ff ff ff 7f aa ff fc
72535 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
72536 00:00:00.000 R 19f21420 00 eb 04 0d 00 80 70 00
72538 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
72538 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
72549 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
72550 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
72765 00:00:00.000 R 15fd060f 00 00 00 40 0b f5 03 ff
72767 00:00:00.000 R 09fd0202 27 33 03 31 3b fa ff ff
72769 00:00:00.000 R 09f11200 b6 ff ff ff 7f aa ff fc
72769 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
72780 00:00:00.000 R 09f80200 b6 fc 0f 7e 00 00 ff ff
72781 00:00:00.000 R 09f80200 b7 fd 55 7e 00 00 ff ff
72966 00:00:00.000 R 19f21420 00 eb 04 0d 00 80 70 00
72968 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
72968 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
72979 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
72980 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
72990 00:00:00.000 R 09fd0202 29 24 03 7e 3b fa ff ff
73156 00:00:00.000 R 09fd0202 2d 0e 03 ee 36 fa ff ff
73160 00:00:00.000 R 09f11200 bd ff ff ff 7f aa ff fc
73161 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
73161 00:00:00.000 R 09fd0202 2e 07 03 bc 37 fa ff ff
73173 00:00:00.000 R 0df50b23 ff 71 01 00 00 00 00 ff
73174 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
73175 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
73185 00:00:00.000 R 15fd0700 bd 00 cf 71 ff 7f ff ff
73253 00:00:00.000 R 0df01000 bd f0 ac 4d a0 99 d6 17
73253 00:00:00.000 R 09f80200 bd fc 0f 7e 00 00 ff ff
73255 00:00:00.000 R 09f80200 be fd 55 7e 00 00 ff ff
73381 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
73383 00:00:00.000 R 19fa0300 be ff 82 00 ff 7f ff 7f
73383 00:00:00.000 R 0df80900 ac 4d a0 99 d6 17 ff 7f
73394 00:00:00.000 R 19f21420 00 ea 04 0c 00 80 70 00
