 *  Executing task: platformio device monitor 

--- Terminal on /dev/cu.usbserial-10 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
587008 00:00:00.000 R 09f11200 af ff ff ff 7f f0 ff fc
587008 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
587188 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
587189 00:00:00.000 R 19f21420 00 eb 04 0c 00 80 70 00
587191 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
587202 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
587202 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
587203 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
587214 00:00:00.000 R 09fd0202 05 02 02 e7 20 fa ff ff
587226 00:00:00.000 R 09f11200 b0 ff ff ff 7f f0 ff fc
587394 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
587395 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
587396 00:00:00.000 R 15fd0600 b0 cf 71 ff ff ff ff ff
587407 00:00:00.000 R 15fd0700 b0 00 cf 71 ff 7f ff ff
587407 00:00:00.000 R 09f80200 b0 fc a1 52 00 00 ff ff
587409 00:00:00.000 R 09f80200 b1 fd b3 52 00 00 ff ff
587420 00:00:00.000 R 19fa0300 b1 ff 78 00 ff 7f ff 7f
587421 00:00:00.000 R 0df01000 b1 f0 ac 4d c0 07 25 18
587596 00:00:00.000 R 15fd0723 ff c0 d2 71 ff 7f ff ff
587597 00:00:00.000 R 09fd0202 07 0d 02 01 20 fa ff ff
587600 00:00:00.000 R 09f11200 b2 ff ff ff 7f f0 ff fc
587601 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
587612 00:00:00.000 R 09fd0202 08 13 02 3a 25 fa ff ff
587614 00:00:00.000 R 09f11200 b3 ff ff ff 7f f0 ff fc
587624 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
587625 00:00:00.000 R 09f80200 b3 fc a1 52 00 00 ff ff
587804 00:00:00.000 R 09f11200 b5 ff ff ff 7f f0 ff fc
587805 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
587805 00:00:00.000 R 15fd0600 b5 cf 71 ff ff ff ff ff
587817 00:00:00.000 R 15fd0700 b5 00 cf 71 ff 7f ff ff
587818 00:00:00.000 R 09f80200 b5 fc a1 52 00 00 ff ff
587819 00:00:00.000 R 09f80200 b6 fd b3 52 00 00 ff ff
587830 00:00:00.000 R 09fd0202 0b 2a 02 bd 2c fa ff ff
587833 00:00:00.000 R 09f11200 b6 ff ff ff 7f f0 ff fc
587909 00:00:00.000 R 09f11200 b7 ff ff ff 7f f0 ff fc
588011 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
588012 00:00:00.000 R 09fd0202 0c 32 02 d7 2b fa ff ff
588015 00:00:00.000 R 09f11200 b8 ff ff ff 7f f0 ff fc
588016 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
588026 00:00:00.000 R 09fd0202 0d 3a 02 13 2d fa ff ff
588028 00:00:00.000 R 09f80200 b8 fc a1 52 00 00 ff ff
588040 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
588219 00:00:00.000 R 09f11200 ba ff ff ff 7f f0 ff fc
588219 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
588220 00:00:00.000 R 09fd0202 0f 42 02 01 36 fa ff ff
588233 00:00:00.000 R 0df80500 ba ac 4d c0 07 25 18 00 64 65 43 26 8a 09 07 00 ec 7f bc e7 04 b9 ff e0 8a c7 ff ff ff ff ff 20 fc 0a 78 00 ff 7f ff ff ff 7f ff
588245 00:00:00.000 R 15fd0600 ba cf 71 ff ff ff ff ff
588246 00:00:00.000 R 15fd0700 ba 00 cf 71 ff 7f ff ff
588247 00:00:00.000 R 09f80200 ba fc a1 52 00 00 ff ff
588258 00:00:00.000 R 09f80200 bb fd b3 52 00 00 ff ff
588436 00:00:00.000 R 09f11200 bb ff ff ff 7f f0 ff fc
588437 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
588437 00:00:00.000 R 1df11a00 bb ff ff ff f0 ff ff ff
588448 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
588448 00:00:00.000 R 0df50b00 bb 71 01 00 00 00 00 ff
588460 00:00:00.000 R 09fd0202 10 42 02 6c 3a fa ff ff
588632 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
588633 00:00:00.000 R 09fd0202 12 3a 02 e2 39 fa ff ff
588636 00:00:00.000 R 09f80200 bd fc a1 52 00 00 ff ff
588637 00:00:00.000 R 09f80200 be fd b3 52 00 00 ff ff
588649 00:00:00.000 R 09f11200 be ff ff ff 7f f0 ff fc
588649 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
588731 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
588732 00:00:00.000 R 19f21420 00 eb 04 0c 00 80 70 00
588835 00:00:00.000 R 09fd0202 14 2a 02 20 35 fa ff ff
588838 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
588839 00:00:00.000 R 15fd0600 bf cf 71 ff ff ff ff ff
588840 00:00:00.000 R 15fd0700 bf 00 cf 71 ff 7f ff ff
588850 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
588851 00:00:00.000 R 09f80200 bf fc a1 52 00 00 ff ff
589036 00:00:00.000 R 09fd0202 16 1c 02 bf 33 fa ff ff
589040 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
589041 00:00:00.000 R 09f80200 c1 fc a1 52 00 00 ff ff
589042 00:00:00.000 R 09f80200 c2 fd b3 52 00 00 ff ff
589053 00:00:00.000 R 09fd0202 17 18 02 f1 31 fa ff ff
589055 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
589056 00:00:00.000 R 09f11200 c2 ff ff ff 7f f0 ff fc
589242 00:00:00.000 R 09fd0202 19 19 02 a7 2d fa ff ff
589245 00:00:00.000 R 0df80500 c2 ac 4d c0 07 25 18 00 64 65 43 26 8a 09 07 00 ec 7f bc e7 04 b9 ff e0 8a c7 ff ff ff ff ff 20 fc 0a 78 00 ff 7f ff ff ff 7f ff
589476 00:00:00.000 R 15fd0600 c2 cf 71 ff ff ff ff ff
589478 00:00:00.000 R 15fd0700 c2 00 cf 71 ff 7f ff ff
589478 00:00:00.000 R 09f80200 c3 fc a1 52 00 00 ff ff
589490 00:00:00.000 R 09f80200 c4 fd b3 52 00 00 ff ff
589491 00:00:00.000 R 0df01000 c4 f0 ac 4d c0 07 25 18
589491 00:00:00.000 R 19fa0300 c4 ff 78 00 ff 7f ff 7f
589502 00:00:00.000 R 09f80200 c6 fc a1 52 00 00 ff ff
589503 00:00:00.000 R 09f80200 c7 fd b3 52 00 00 ff ff
589515 00:00:00.000 R 09fd0202 1c 1a 02 ac 2f fa ff ff
589644 00:00:00.000 R 09f11200 c7 ff ff ff 7f f0 ff fc
589644 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
589645 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
589656 00:00:00.000 R 19f21420 00 ec 04 0d 00 80 70 00
589658 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
589658 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
589669 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
589670 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
589884 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
589885 00:00:00.000 R 09f11200 c8 ff ff ff 7f f0 ff fc
589886 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
589896 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
589907 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
589907 00:00:00.000 R 09fd0202 1e 11 02 2c 35 fa ff ff
590077 00:00:00.000 R 09fd0202 20 fb 01 95 32 fa ff ff
590080 00:00:00.000 R 09f11200 cb ff ff ff 7f f0 ff fc
590081 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
590081 00:00:00.000 R 09f80200 cb fd b3 52 ff ff ff ff
590093 00:00:00.000 R 09fd0202 21 ee 01 05 30 fa ff ff
590095 00:00:00.000 R 09f11200 cc ff ff ff 7f f0 ff fc
590284 00:00:00.000 R 0df80500 cd ac 4d c0 07 25 18 00 64 65 43 26 8a 09 07 00 ec 7f bc e7 04 b9 ff e0 8a c7 ff ff ff ff ff 20 fc 0a 78 00 ff 7f ff ff ff 7f ff
590297 00:00:00.000 R 15fd0600 cd cf 71 ff ff ff ff ff
590298 00:00:00.000 R 15fd0700 cd 00 cf 71 ff 7f ff ff
590298 00:00:00.000 R 09f80200 cd fc a1 52 00 00 ff ff
590311 00:00:00.000 R 09f80200 ce fd b3 52 00 00 ff ff
590312 00:00:00.000 R 0df01000 ce f0 ac 4d c0 07 25 18
590312 00:00:00.000 R 09f11200 ce ff ff ff 7f f0 ff fc
590323 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
590323 00:00:00.000 R 1df11a00 ce ff ff ff f0 ff ff ff
590334 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
590400 00:00:00.000 R 0df50b00 ce 74 01 00 00 00 00 ff
590401 00:00:00.000 R 15fd0723 ff c0 d2 71 ff 7f ff ff
590460 00:00:00.000 R 09fd0202 24 c1 01 5a 2d fa ff ff
590463 00:00:00.000 R 09f11200 cf ff ff ff 7f f0 ff fc
590464 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
590465 00:00:00.000 R 19f21420 00 eb 04 0c 00 80 70 00
590476 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
590477 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
590488 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
590488 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
590666 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
590667 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
590678 00:00:00.000 R 09fd0202 26 b2 01 d7 2e fa ff ff
590681 00:00:00.000 R 09f11200 d1 ff ff ff 7f f0 ff fc
590681 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
590692 00:00:00.000 R 09fd0202 27 b5 01 7f 2d fa ff ff
590694 00:00:00.000 R 09f11200 d2 ff ff ff 7f f0 ff fc
590695 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
590872 00:00:00.000 R 15fd0723 ff c0 d2 71 ff 7f ff ff
590873 00:00:00.000 R 15fd0c23 ff 00 00 3c 72 04 ff ff
590873 00:00:00.000 R 09fd0202 29 bc 01 4d 2b fa ff ff
590887 00:00:00.000 R 09f11200 d4 ff ff ff 7f f0 ff fc
590887 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
590888 00:00:00.000 R 09fd0202 2a c7 01 22 2d fa ff ff
590900 00:00:00.000 R 09f11200 d5 ff ff ff 7f f0 ff fc
590900 00:00:00.000 R 09f80200 d5 fc a1 52 00 00 ff ff
591079 00:00:00.000 R 09f11200 d6 ff ff ff 7f f0 ff fc
591080 00:00:00.000 R 09fd0202 2b d1 01 79 2f fa ff ff
591148 00:00:00.000 R 09f11200 d7 ff ff ff 7f f0 ff fc
591148 00:00:00.000 R 09fd0202 2c d9 01 8b 30 fa ff ff
591151 00:00:00.000 R 0df80500 d7 ac 4d ff ff ff ff ff ff ff ff ff ff ff 7f ff ff ff ff ff ff ff 7f ff ff ff ff ff ff ff 7f f0 fc ff ff 7f ff 7f ff ff ff 7f ff
591164 00:00:00.000 R 15fd0600 d7 cf 71 ff ff ff ff ff
591175 00:00:00.000 R 15fd0700 d7 00 cf 71 ff 7f ff ff
591241 00:00:00.000 R 09f80200 d7 fc a1 52 00 00 ff ff
591306 00:00:00.000 R 09f80200 d8 fd b3 52 00 00 ff ff
591307 00:00:00.000 R 0df01000 d8 ff ac 4d ff ff ff ff
591308 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
591319 00:00:00.000 R 19f21420 00 ec 04 0c 00 80 70 00
591321 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
591321 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
591497 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
591498 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
591509 00:00:00.000 R 09f11200 d9 ff ff ff 7f f0 ff fc
591509 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
591519 00:00:00.000 R 09fd0202 2e e6 01 ac 2d fa ff ff
591522 00:00:00.000 R 09f11200 da ff ff ff 7f f0 ff fc
591689 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
591690 00:00:00.000 R 09fd0202 30 e5 01 8c 2e fa ff ff
591693 00:00:00.000 R 09f11200 dc ff ff ff 7f f0 ff fc
591693 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
591704 00:00:00.000 R 09fd0202 31 e3 01 25 2f fa ff ff
591924 00:00:00.000 R 1df11a03 ff ff ff ff f6 ff ff ff
591925 00:00:00.000 R 15fd0600 dc cf 71 ff ff ff ff ff
591926 00:00:00.000 R 15fd0700 dc 00 cf 71 ff 7f ff ff
591937 00:00:00.000 R 09f80200 dc fc a1 52 00 00 ff ff
591938 00:00:00.000 R 09f80200 dd fd b3 52 00 00 ff ff
591939 00:00:00.000 R 09f11200 dd ff ff ff 7f f0 ff fc
592013 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
592014 00:00:00.000 R 09f80200 df fc a1 52 00 00 ff ff
592015 00:00:00.000 R 09f80200 e0 fd ff ff 00 00 ff ff
592092 00:00:00.000 R 19f21420 00 eb 04 0c 00 80 70 00
592094 00:00:00.000 R 09fd0202 34 db 01 5e 2e fa ff ff
592097 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
592162 00:00:00.000 R 09f11200 e0 ff ff ff 7f f0 ff fc
592162 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
592163 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
592174 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
592175 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
592338 00:00:00.000 R 09fd0202 36 da 01 40 2d fa ff ff
592341 00:00:00.000 R 0df80500 e1 ac 4d 00 a4 25 18 00 64 65 43 26 8a 09 07 00 ec 7f bc e7 04 b9 ff e0 8a c7 ff ff ff ff ff 2f fc 0a 78 00 ff 7f ff ff ff 7f ff
592353 00:00:00.000 R 15fd0600 e1 cf 71 ff ff ff ff ff
592354 00:00:00.000 R 15fd0700 e1 00 cf 71 ff 7f ff ff
592365 00:00:00.000 R 09f80200 e1 fc a1 52 00 00 ff ff
592367 00:00:00.000 R 0df01000 e1 f0 ac 4d 00 a4 25 18
592801 00:00:00.000 R 15fd060f 00 00 00 4a 0b f5 03 ff
592956 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
592957 00:00:00.000 R 1df11a00 e2 ff ff ff f0 ff ff ff
592957 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
592968 00:00:00.000 R 0df50b00 e2 74 01 00 00 00 00 ff
592969 00:00:00.000 R 15fd0723 ff c0 d2 71 ff 7f ff ff
592980 00:00:00.000 R 09fd0202 37 dd 01 72 29 fa ff ff
593153 00:00:00.000 R 15fd0700 e6 00 cf 71 ff 7f ff ff
593154 00:00:00.000 R 09f80200 e6 fc a1 52 00 00 ff ff
593156 00:00:00.000 R 09f80200 e7 fd f9 52 00 00 ff ff
593167 00:00:00.000 R 09f11200 e7 ff ff ff 7f f0 ff fc
593167 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
593168 00:00:00.000 R 15fd0723 ff c0 d2 71 ff 7f ff ff
593344 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
593345 00:00:00.000 R 09fd0202 3f f5 01 6c 28 fa ff ff
593347 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
593358 00:00:00.000 R 09fd0202 40 03 02 77 26 fa ff ff
593360 00:00:00.000 R 0df80500 ea ac 4d 00 a4 25 18 00 64 65 43 26 8a 09 07 00 ec 7f bc e7 04 b9 ff e0 8a c7 ff ff ff ff ff 20 fc 0a 78 00 ff 7f ff ff ff 7f ff
593372 00:00:00.000 R 15fd0600 ea cf 71 ff ff ff ff ff
593542 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
593543 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
593543 00:00:00.000 R 0df50b00 ec 74 01 00 00 00 00 ff
593555 00:00:00.000 R 15fd0723 ff c0 d2 71 ff 7f ff ff
593555 00:00:00.000 R 09fd0202 41 13 02 e8 24 fa ff ff
593568 00:00:00.000 R 09f11200 ec ff ff ff 7f aa ff fc
593569 00:00:00.000 R 09fd0202 42 23 02 65 27 fa ff ff
593641 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
593642 00:00:00.000 R 09fd0202 44 43 02 f7 2a fa ff ff
593645 00:00:00.000 R 19f21420 00 eb 04 0c 00 80 70 00
593763 00:00:00.000 R 09f11200 ef ff ff ff 7f aa ff fc
593764 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
593764 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
593775 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
593776 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
593787 00:00:00.000 R 15fd0600 ef cf 71 ff ff ff ff ff
593941 00:00:00.000 R 15fd0723 ff c0 d2 71 ff 7f ff ff
593942 00:00:00.000 R 09fd0202 46 5a 02 11 28 fa ff ff
593945 00:00:00.000 R 09f11200 f1 ff ff ff 7f aa ff fc
593945 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
593956 00:00:00.000 R 09fd0202 47 61 02 ed 28 fa ff ff
593958 00:00:00.000 R 09f11200 f2 ff ff ff 7f aa ff fc
593969 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
593969 00:00:00.000 R 09f80200 f2 fc a1 52 00 00 ff ff
594148 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
594149 00:00:00.000 R 15fd0800 f3 00 00 cf 71 ff ff ff
594151 00:00:00.000 R 09f11200 f4 ff ff ff 7f aa ff fc
594161 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
594162 00:00:00.000 R 09fd0202 49 67 02 4b 25 fa ff ff
594383 00:00:00.000 R 0df80500 f4 ac 4d 00 a4 25 18 00 64 65 43 26 8a 09 07 00 ec 7f bc e7 04 b9 ff e0 8a c7 ff ff ff ff ff 20 fc 0a 78 00 ff 7f ff ff ff 7f ff
594396 00:00:00.000 R 09f80200 f4 fc a1 52 00 00 ff ff
594397 00:00:00.000 R 09f80200 f5 fd f9 52 00 00 ff ff
594398 00:00:00.000 R 0df01000 f5 f0 ac 4d 00 a4 25 18
594409 00:00:00.000 R 19fa0300 f5 ff 78 00 ff 7f ff 7f
594409 00:00:00.000 R 09f50300 f5 00 00 ff ff ff ff ff
594483 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
594483 00:00:00.000 R 09fd0202 4c 80 02 88 25 fa ff ff
594553 00:00:00.000 R 09f80200 f7 fc a1 52 00 00 ff ff
594555 00:00:00.000 R 09f80200 f8 fd f9 52 00 00 ff ff
594556 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
594568 00:00:00.000 R 19f21420 00 ec 04 0e 00 80 70 00
594570 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
594570 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
594581 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
594582 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
594757 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
594758 00:00:00.000 R 09fd0202 4d 89 02 7c 25 fa ff ff
594761 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
594762 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
594773 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
594784 00:00:00.000 R 09f11200 f9 ff ff ff 7f aa ff fc
594784 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
594795 00:00:00.000 R 09fd0202 4e 93 02 7a 28 fa ff ff
594965 00:00:00.000 R 09f11200 fb ff ff ff 7f aa ff fc
594966 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
594966 00:00:00.000 R 09fd0202 50 a1 02 fd 27 fa ff ff
594980 00:00:00.000 R 09f11200 fc ff ff ff 7f aa ff fc
594980 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
594981 00:00:00.000 R 09f80200 fc fc a1 52 00 00 ff ff
594992 00:00:00.000 R 09f80200 00 fd f9 52 00 00 ff ff
594993 00:00:00.000 R 09fd0202 51 a3 02 9b 28 fa ff ff
595175 00:00:00.000 R 09f11200 01 ff ff ff 7f aa ff fc
595175 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
595175 00:00:00.000 R 09fd0202 53 a3 02 61 29 fa ff ff
595188 00:00:00.000 R 0df80500 01 ac 4d 00 a4 25 18 00 64 65 43 26 8a 09 07 00 ec 7f bc e7 04 b9 ff e0 8a c7 ff ff ff ff ff 20 fc 0a 78 00 ff 7f ff ff ff 7f ff
595200 00:00:00.000 R 15fd0600 01 cf 71 ff ff ff ff ff
595201 00:00:00.000 R 15fd0700 01 00 cf 71 ff 7f ff ff
595212 00:00:00.000 R 09f80200 01 fc a1 52 00 00 ff ff
595213 00:00:00.000 R 09f80200 02 fd f9 52 00 00 ff ff
595291 00:00:00.000 R 0df90300 02 f0 ff ff ff 7f ff ff
595291 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
595292 00:00:00.000 R 0df80900 ac 4d 00 a4 25 18 ff 7f
595302 00:00:00.000 R 09f11200 02 ff ff ff 7f aa ff fc
595303 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
595313 00:00:00.000 R 1df11a00 02 ff ff ff aa ff ff ff
595416 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
595417 00:00:00.000 R 0df50b00 02 74 01 00 00 00 00 ff
595418 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
595429 00:00:00.000 R 19f21420 00 eb 04 0c 00 80 70 00
595431 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
595431 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
595602 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
595603 00:00:00.000 R 09f11200 04 ff ff ff 7f aa ff fc
595613 00:00:00.000 R 09f80200 04 fc a1 52 00 00 ff ff
595615 00:00:00.000 R 09f80200 05 fd f9 52 00 00 ff ff
595626 00:00:00.000 R 09fd0202 56 a2 02 f9 2a fa ff ff
595629 00:00:00.000 R 09f11200 05 ff ff ff 7f aa ff fc
595807 00:00:00.000 R 15fd0600 06 cf 71 ff ff ff ff ff
595809 00:00:00.000 R 15fd0700 06 00 cf 71 ff 7f ff ff
595809 00:00:00.000 R 09f80200 06 fc a1 52 00 00 ff ff
595821 00:00:00.000 R 09f80200 07 fd f9 52 00 00 ff ff
595822 00:00:00.000 R 09f11200 07 ff ff ff 7f aa ff fc
595822 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
595998 00:00:00.000 R 09f11200 09 ff ff ff 7f aa ff fc
595999 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
595999 00:00:00.000 R 09f80200 09 fc a1 52 00 00 ff ff
596011 00:00:00.000 R 09f80200 0a fd b3 52 00 00 ff ff
596012 00:00:00.000 R 09fd0202 5b a8 02 c1 29 fa ff ff
596015 00:00:00.000 R 09f11200 0a ff ff ff 7f aa ff fc
596026 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
596100 00:00:00.000 R 15fd0800 0a 00 00 cf 71 ff ff ff
596102 00:00:00.000 R 09fd0202 5c a6 02 52 2b fa ff ff
596104 00:00:00.000 R 09f11200 0b ff ff ff 7f aa ff fc
596105 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
596233 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
596235 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
596236 00:00:00.000 R 19f21420 00 ec 04 0d 00 80 70 00
596248 00:00:00.000 R 19f21420 00 ec 04 0d 00 80 70 00
596249 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
596249 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
596413 00:00:00.000 R 09f50300 0c 00 00 ff ff ff ff ff
596414 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
596424 00:00:00.000 R 0df50b23 ff 73 01 00 00 00 00 ff
596426 00:00:00.000 R 0df90300 0c f0 ff ff ff 7f ff ff
596436 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
596437 00:00:00.000 R 0df80900 ac 4d 50 67 26 18 ff 7f
596597 00:00:00.000 R 09fd0202 5f 93 02 ea 2b fa ff ff
596601 00:00:00.000 R 09f11200 0e ff ff ff 7f aa ff fc
596601 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
596669 00:00:00.000 R 09f80200 0e fc a1 52 00 00 ff ff
596671 00:00:00.000 R 09f80200 0f fd b3 52 00 00 ff ff
596672 00:00:00.000 R 09fd0202 60 91 02 54 2b fa ff ff
596685 00:00:00.000 R 09f11200 0f ff ff ff 7f aa ff fc
596685 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
596812 00:00:00.000 R 15fd0600 10 cf 71 ff ff ff ff ff
596814 00:00:00.000 R 15fd0700 10 00 cf 71 ff 7f ff ff
596815 00:00:00.000 R 09f80200 10 fc a1 52 00 00 ff ff
596826 00:00:00.000 R 09f80200 11 fd b3 52 00 00 ff ff
596828 00:00:00.000 R 09fd0202 62 8d 02 1f 2b fa ff ff
596830 00:00:00.000 R 09f11200 11 ff ff ff 7f aa ff fc
596841 00:00:00.000 R 09f80100 ca 8d 39 1e be 23 cf fe
596841 00:00:00.000 R 15fd0723 ff c0 d3 71 ff 7f ff ff
